STATEFP,COUNTYFP,TRACTCE,GEOID,CENSUS_TRACT,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID2,GEOid2_1,PovRate,Id2,MedIncome,FID_1,STATEFP_1,COUNTYFP_1,TRACTCE_1,GEOID_1,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,GEOID2_12,GEOid2__13,PovRate_1,Id2_1,MedIncom_1
6,37,183101,6037183101,183101,Census Tract 1831.01,G5020,S,"948,157","19,799",34.1222377,-118.1823583,"6,037,183,101","6,037,183,101",15.7,"6,037,183,101",69519,45,6,37,183101,6037183101,1831.01,Census Tract 1831.01,G5020,S,"948,157","19,799",34.1222377,-118.1823583,"6,037,183,100","6,037,183,100",15.7,"6,037,183,100","69,519"
6,37,183220,6037183220,183220,Census Tract 1832.20,G5020,S,"535,234",0,34.1199723,-118.1892861,"6,037,183,220","6,037,183,220",14.7,"6,037,183,220",52213,46,6,37,183220,6037183220,1832.2,Census Tract 1832.20,G5020,S,"535,234",0,34.1199723,-118.1892861,"6,037,183,220","6,037,183,220",14.7,"6,037,183,220","52,213"
6,37,183300,6037183300,183300,Census Tract 1833,G5020,S,"541,305",0,34.1210001,-118.2008163,"6,037,183,300","6,037,183,300",10.8,"6,037,183,300",71500,47,6,37,183300,6037183300,1833,Census Tract 1833,G5020,S,"541,305",0,34.1210001,-118.2008163,"6,037,183,300","6,037,183,300",10.8,"6,037,183,300","71,500"
6,37,183510,6037183510,183510,Census Tract 1835.10,G5020,S,"500,438",0,34.1154022,-118.2030827,"6,037,183,510","6,037,183,510",12.5,"6,037,183,510",66625,48,6,37,183510,6037183510,1835.1,Census Tract 1835.10,G5020,S,"500,438",0,34.1154022,-118.2030827,"6,037,183,510","6,037,183,510",12.5,"6,037,183,510","66,625"
6,37,183520,6037183520,183520,Census Tract 1835.20,G5020,S,"427,707",0,34.1109412,-118.2015849,"6,037,183,520","6,037,183,520",28.5,"6,037,183,520",39861,49,6,37,183520,6037183520,1835.2,Census Tract 1835.20,G5020,S,"427,707",0,34.1109412,-118.2015849,"6,037,183,520","6,037,183,520",28.5,"6,037,183,520","39,861"
6,37,183610,6037183610,183610,Census Tract 1836.10,G5020,S,"378,642",0,34.1140024,-118.1948974,"6,037,183,610","6,037,183,610",22.4,"6,037,183,610",53988,50,6,37,183610,6037183610,1836.1,Census Tract 1836.10,G5020,S,"378,642",0,34.1140024,-118.1948974,"6,037,183,610","6,037,183,610",22.4,"6,037,183,610","53,988"
6,37,192300,6037192300,192300,Census Tract 1923,G5020,S,"879,494",0,34.079743,-118.3284923,"6,037,192,300","6,037,192,300",10.2,"6,037,192,300",100000,51,6,37,192300,6037192300,1923,Census Tract 1923,G5020,S,"879,494",0,34.079743,-118.3284923,"6,037,192,300","6,037,192,300",10.2,"6,037,192,300","100,000"
6,37,195400,6037195400,195400,Census Tract 1954,G5020,S,"1,030,345",0,34.0916923,-118.2740531,"6,037,195,400","6,037,195,400",6.8,"6,037,195,400",93226,52,6,37,195400,6037195400,1954,Census Tract 1954,G5020,S,"1,030,345",0,34.0916923,-118.2740531,"6,037,195,400","6,037,195,400",6.8,"6,037,195,400","93,226"
6,37,183820,6037183820,183820,Census Tract 1838.20,G5020,S,"308,656",0,34.1039593,-118.1971255,"6,037,183,820","6,037,183,820",39.7,"6,037,183,820",32596,53,6,37,183820,6037183820,1838.2,Census Tract 1838.20,G5020,S,"308,656",0,34.1039593,-118.1971255,"6,037,183,820","6,037,183,820",39.7,"6,037,183,820","32,596"
6,37,185100,6037185100,185100,Census Tract 1851,G5020,S,"2,278,049",0,34.1048825,-118.2103941,"6,037,185,100","6,037,185,100",16.2,"6,037,185,100",80268,54,6,37,185100,6037185100,1851,Census Tract 1851,G5020,S,"2,278,049",0,34.1048825,-118.2103941,"6,037,185,100","6,037,185,100",16.2,"6,037,185,100","80,268"
