,Medium Income ($),Canopy Area (%),Income Bracket
536,40941.0,10.777808537666663,25K - 50K ($)
537,67065.0,24.88172457,50K - 75K ($)
538,43567.0,14.164539915,25K - 50K ($)
539,36739.0,9.2867379995,25K - 50K ($)
540,38983.0,10.168524209,25K - 50K ($)
541,30875.0,12.60945678,25K - 50K ($)
542,83068.0,22.07743152,75K - 100K ($)
543,40970.0,19.71163764,25K - 50K ($)
544,93036.0,38.501320532,75K - 100K ($)
545,88482.0,34.5953957775,75K - 100K ($)
546,81486.0,30.9255064825,75K - 100K ($)
547,59865.0,16.22740573,50K - 75K ($)
548,83606.0,18.92659809233333,75K - 100K ($)
549,86031.0,18.38764459,75K - 100K ($)
550,136860.0,16.414815835,125K to 150K ($)
551,62414.0,13.135117203333332,50K - 75K ($)
552,74688.0,12.606553135,50K - 75K ($)
553,36569.0,16.883529523333333,25K - 50K ($)
554,78297.0,20.90213128,75K - 100K ($)
555,46314.0,9.547826222000001,25K - 50K ($)
556,79554.0,12.638199968666667,75K - 100K ($)
557,47244.0,12.221670166,25K - 50K ($)
558,91164.0,16.053880276666664,75K - 100K ($)
559,45104.0,18.759709225,25K - 50K ($)
560,109241.0,16.804815138000002,100K - 125K ($)
561,69340.0,17.21359779,50K - 75K ($)
562,68833.0,17.58325302333333,50K - 75K ($)
563,41953.0,12.899744993333336,25K - 50K ($)
564,78289.0,19.298355153333333,75K - 100K ($)
565,83083.0,11.716002036666666,75K - 100K ($)
566,68571.0,8.04932043,50K - 75K ($)
567,61432.0,12.850157623333333,50K - 75K ($)
568,59241.0,15.520762124,50K - 75K ($)
569,70650.0,15.981790382499998,50K - 75K ($)
570,86250.0,27.4502242525,75K - 100K ($)
571,81667.0,38.31674449,75K - 100K ($)
572,92340.0,24.509804541999998,75K - 100K ($)
573,37365.0,19.78920444,25K - 50K ($)
574,80200.0,17.56995829,75K - 100K ($)
575,44211.0,21.167717226666667,25K - 50K ($)
576,74440.0,18.771373036666667,50K - 75K ($)
577,90592.0,16.20147644,75K - 100K ($)
578,24063.0,9.601371925666669,0 - 25K ($)
579,70694.0,14.907246888,50K - 75K ($)
580,25893.0,8.82472566,25K - 50K ($)
581,73828.0,18.59331028333333,50K - 75K ($)
582,27092.0,14.944297555,25K - 50K ($)
583,103250.0,25.342536615,100K - 125K ($)
